Código gran área;Gran área;Código área;Área;Código disciplina;Disciplina
5.;Ciencias sociales;5.B.;Economía y negocios;5B03;5B03 Relaciones Industriales
5.;Ciencias sociales;5.B.;Economía y negocios;5B04;5B04 Negocios y management
5.;Ciencias sociales;5.C.;Ciencias de la educación;5C01;5C01 Educación general (incluye capacitación, pedagogía)
5.;Ciencias sociales;5.C.;Ciencias de la educación;5C02;5C02 Educación especial (para estudiantes dotados y aquellos con dificultades del aprendizaje)
5.;Ciencias sociales;5.D.;Sociología;5D01;5D01 Sociología
5.;Ciencias sociales;5.D.;Sociología;5D02;5D02 Demografía
5.;Ciencias sociales;5.D.;Sociología;5D03;5D03 Antropología
5.;Ciencias sociales;5.D.;Sociología;5D04;5D04 Etnografía
5.;Ciencias sociales;5.D.;Sociología;5D05;5D05 Temas especiales (Estudios de Género, Temas Sociales, Estudios dela Familia, Trabajo Social,)
5.;Ciencias sociales;5.E.;Derecho;5E01;5E01 Derecho
5.;Ciencias sociales;5.E.;Derecho;5E02;5E02 Penal
5.;Ciencias sociales;5.F.;Ciencias políticas;5F01;5F01 Ciencias políticas
5.;Ciencias sociales;5.F.;Ciencias políticas;5F02;5F02 Administración pública
5.;Ciencias sociales;5.F.;Ciencias políticas;5F03;5F03 Teoría organizacional
5.;Ciencias sociales;5.G.;Geografía social y económica;5G01;5G01 Ciencias ambientales (aspectos sociales)
5.;Ciencias sociales;5.G.;Geografía social y económica;5G02;5G02 Geografía económica y cultural
5.;Ciencias sociales;5.G.;Geografía social y económica;5G03;5G03 Estudios urbanos (planificación y desarrollo)
5.;Ciencias sociales;5.G.;Geografía social y económica;5G04;5G04 Planificación del transporte y aspectos sociales del transporte (ingeniería del transporte en 2.A)
5.;Ciencias sociales;5.H.;Periodismo y comunicaciones;5H01;5H01 Periodismo
5.;Ciencias sociales;5.H.;Periodismo y comunicaciones;5H02;5H02 Ciencias de la información (aspectos sociales)
5.;Ciencias sociales;5.H.;Periodismo y comunicaciones;5H03;5H03 Bibliotecología
5.;Ciencias sociales;5.H.;Periodismo y comunicaciones;5H04;5H04 Medios y comunicación social
5.;Ciencias sociales;5.I.;Otras ciencias sociales;5I01;5I01 Ciencias sociales, interdisciplinaria
5.;Ciencias sociales;5.I.;Otras ciencias sociales;5I02;5I02 Otras ciencias sociales
6.;Humanidades;6.A.;Historia;6A01;6A01 Historia (historia de la ciencia y tecnología en 6.C)
6.;Humanidades;6.A.;Historia;6A02;6A02 Arqueología
6.;Humanidades;6.A.;Historia;6A03;6A03 Historia de Colombia
6.;Humanidades;6.B.;Idiomas y literatura;6B01;6B01 Estudios generales del lenguaje
6.;Humanidades;6.B.;Idiomas y literatura;6B02;6B02 Idiomas específicos
6.;Humanidades;6.B.;Idiomas y literatura;6B03;6B03 Estudios literarios
6.;Humanidades;6.B.;Idiomas y literatura;6B04;6B04 Teoría literaria
6.;Humanidades;6.B.;Idiomas y literatura;6B05;6B05 Literatura específica
6.;Humanidades;6.B.;Idiomas y literatura;6B06;6B06 Lingüística
6.;Humanidades;6.C.;Otras historias;6C01;6C01 Historia de la ciencia y tecnología
6.;Humanidades;6.C.;Otras historias;6C02;6C02 Otras historias especializadas (se incluye Historia del Arte)
6.;Humanidades;6.D.;Arte;6D01;6D01 Artes plásticas y visuales
6.;Humanidades;6.D.;Arte;6D02;6D02 Música y musicología
6.;Humanidades;6.D.;Arte;6D03;6D03 Danza o Artes danzarías
6.;Humanidades;6.D.;Arte;6D04;6D04 Teatro, dramaturgia o Artes escénicas
6.;Humanidades;6.D.;Arte;6D05;6D05 Otras artes
