Código;cod_campo;Campo;Disciplina;cod_disc;Area
2.6.2.;2.6.;;;2;Tecnología médica de laboratorio (análisis de muestras, tecnologías para el diagnóstico)
2.7.1.;2.7.;;2.7 Ingeniería Ambiental;1;Ingeniería Ambiental y Geológica e
2.7.2.;2.7.;;;2;Geotécnicas 
2.7.3.;2.7.;;;3;Ingeniería del Petróleo (Combustibles, Aceites), Energía y Combustibles 
2.7.4.;2.7.;;;4;Sensores Remotos 
2.7.5.;2.7.;;;5;Minería y Procesamiento de Minerales 
2.7.6.;2.7.;;;6;Ingeniería Marina, Naves 
2.7.7.;2.7.;;;7;Ingeniería Oceanográfica
2.8.1.;2.8.;;2.8 Biotecnología Medioambiental;1;Biotecnología Medioambiental 
2.8.2.;2.8.;;;2;Bioremediación, biotecnología para el diagnóstico (chips ADN y biosensores) en manejo ambiental 
2.8.3.;2.8.;;;3;Ética relacionada con Biotecnología Medioambiental
2.9.1.;2.9.;;2.9 Biotecnología Industrial;1;Biotecnología Industrial
2.9.2.;2.9.;;;2;Tecnologías de Bioprocesamiento, Biocatálisis, Fermentación
2.9.3.;2.9.;;;3;Bioproductos, biomateriales, bioplásticos, biocombustibles, materiales nuevos bioderivados
2.10.1.;2.10.;;2.10 Nanotecnología;1;Nanomateriales (producción y propiedades)
2.10.2.;2.10.;;;2;Nanoprocesos (aplicaciones a nanoescala)
2.11.1.;2.11.;;2.11 Otras ingenierías y tecnologías;1;Alimentos y Bebidas
2.11.2.;2.11.;;;2;Otras Ingenierías y Tecnologías
2.11.3.;2.11.;;;3;Ingeniería de Producción
2.11.4.;2.11.;;;4;Ingeniería Industrial
3.1.1.;3.1.;Ciencias médica y de la salud;3.1 Medicina Básica;1;Anatomía y Morfología
3.1.2.;3.1.;;;2;Genética humana
3.1.3.;3.1.;;;3;Inmunología
3.1.4.;3.1.;;;4;Neurociencias
3.1.5.;3.1.;;;5;Farmacología y Farmacia
3.1.6.;3.1.;;;6;Medicina Química
3.1.7.;3.1.;;;7;Toxicología
3.1.8.;3.1.;;;8;Fisiología (incluye Citología)
3.1.9.;3.1.;;;9;Patología
3.2.1.;3.2.;;3.2 Medicina Clínica;1;Andrología
3.2.2.;3.2.;;;2;Obstetricia y Ginecología
3.2.3.;3.2.;;;3;Pediatría
3.2.4.;3.2.;;;4;Cardiovascular
3.2.5.;3.2.;;;5;Vascular Periférico
3.2.6.;3.2.;;;6;Hematología
3.2.7.;3.2.;;;7;Respiratoria
3.2.8.;3.2.;;;8;Cuidado crítico y de Emergencia
3.2.9.;3.2.;;;9;Anestesiología
3.2.10.;3.2.;;;10;Ortopédica
3.2.11.;3.2.;;;11;Cirugía
3.2.12.;3.2.;;;12;Radiología, Medicina Nuclear y de imágenes
3.2.13.;3.2.;;;13;Transplantes
3.2.14.;3.2.;;;14;Odontología, Cirugía Oral y Medicina Oral
3.2.15.;3.2.;;;15;Dermatología y Enfermedades Venéreas
3.2.16.;3.2.;;;16;Alergias
3.2.17.;3.2.;;;17;Reumatología
3.2.18.;3.2.;;;18;Endocrinología y Metabolismo (Incluye Diabetes y Transtornos Hormonales)
3.2.19.;3.2.;;;19;Gastroenterología y Hepatología
3.2.20.;3.2.;;;20;Urología y nefrología
3.2.21.;3.2.;;;21;Oncología
3.2.22.;3.2.;;;22;Oftalmología
3.2.23.;3.2.;;;23;Otorrinonaringología
3.2.24.;3.2.;;;24;Psiquiatría
3.2.25.;3.2.;;;25;Neurología clínica
3.2.26.;3.2.;;;26;Geriatría
3.2.27.;3.2.;;;27;Medicina General e Interna
3.2.28.;3.2.;;;28;Otro temas de Medicina Clínica
3.2.29.;3.2.;;;29;Medicina complementaria (sistemas alternativos)
3.3.1.;3.3.;;3.3 Ciencias de la Salud;1;Ciencias del Cuidado de la Salud y Servicios (Administración de Hospitales, financiamiento)
3.3.2.;3.3.;;;2;Políticas de Salud y Servicios
3.3.3.;3.3.;;;3;Enfermería
3.3.4.;3.3.;;;4;Nutrición y Dietas
3.3.5.;3.3.;;;5;Salud Pública
3.3.6.;3.3.;;;6;Medicina Tropical
3.3.7.;3.3.;;;7;Parasitología
3.3.8.;3.3.;;;8;Enfermedades Infecciosas
3.3.9.;3.3.;;;9;Epidemiología
3.3.10.;3.3.;;;10;Salud Ocupacional
3.3.11.;3.3.;;;11;Ciencias del Deporte
3.3.12.;3.3.;;;12;Ciencias Socio Biomédicas (Planificación Familiar, Salud Sexual, Efectos políticos y sociales
3.3.13.;3.3.;;;13;Ética
3.3.14.;3.3.;;;14;Abuso de substancias
3.4.1.;3.4.;;3.4 Biotecnología en Salud;1;Biotecnología relacionada con la salud
3.4.2.;3.4.;;;2;Tecnologías para la manipulación de células, tejidos, Órganos o el organismo (Reproducción asistida)
3.4.3.;3.4.;;;3;Tecnología para la Identificación y Funcionamiento del ADN, proteínas y encimas 
3.4.4.;3.4.;;;4;Biomateriales (Relacionados con implantes, dispositivos, sensores)
3.4.5.;3.4.;;;5;Ética relacionada con la Biomedicina
3.5.1.;3.5.;;3.5 Otras Ciencias Médicas;1;Forénsicas
3.5.2.;3.5.;;;2;Otras Ciencias Médicas
3.5.3.;3.5.;;;3;Fonoaudiología
4.1.1.;4.1.;Ciencias agrícolas;4.1 Agricultura, Silvicultura y Pesca;1;Agricultura
4.1.2.;4.1.;;;2;Forestal
4.1.3.;4.1.;;;3;Pesca
4.1.4.;4.1.;;;4;Ciencias del Suelo
4.1.5.;4.1.;;;5;Horticultura y viticultura
4.1.6.;4.1.;;;6;Agronomía
4.1.7.;4.1.;;;7;Protección y nutrición de las plantas
4.2.1.;4.2.;;4.2 Ciencias Animales y lechería;1;Ciencias Animales y lechería
4.2.2.;4.2.;;;2;Crías y mascotas
4.3.1.;4.3.;;4.3 Ciencias Veterinarias;1;Ciencias Veterinarias
4.4.1.;4.4.;;4.4 Biotecnología Agrícola;1;Biotecnología Agrícola y de alimentos 
